sequencing information of APGp1 individuals,,,,,,,,,,,,,
PopulationID,Population,Family ID,Offspring ID,HiFi platform,HiFi cov. (¡Á),HiFi N50 (Kbp),ONT platform,ONT flow cell version,ONT cov. (¡Á),ONT N50 (Kbp),UL-ONT cov. (¡Á),UL-ONT N50 (Kbp),Note
CHA-S,"Han, South China",C024-CHA-S04,C024-CHA-S04-01,PacBio Sequel II,49.9 ,17.6 ,PromethION,R9.4.1,102.7 ,92 ,48.0 ,173,
CHA-S,"Han, South China",C035-CHA-S15,C035-CHA-S15-01,PacBio Revio,48.9 ,17.9 ,PromethION,R9.4.1,124.3 ,123 ,73.3 ,190,
CHA-S,"Han, South China",C036-CHA-S16,C036-CHA-S16-01,PacBio Revio,51.8 ,16.9 ,PromethION,R9.4.1,107.7 ,110 ,58.3 ,181,No trio information
CHA-S,"Han, South China",C037-CHA-S17,C037-CHA-S17-01,PacBio Revio,44.9 ,18.1 ,PromethION,R9.4.1,132.0 ,93 ,61.7 ,167,
CHA-S,"Han, South China",C038-CHA-S18,C038-CHA-S18-01,PacBio Revio,52.3 ,18.2 ,PromethION,R9.4.1,118.3 ,106 ,62.0 ,177,
CHA-S,"Han, South China",C039-CHA-S19,C039-CHA-S19-01,PacBio Revio,55.4 ,19.2 ,PromethION,R9.4.1,135.3 ,122 ,79.7 ,187,
CHA-S,"Han, South China",C040-CHA-S20,C040-CHA-S20-01,PacBio Revio,49.8 ,20.1 ,PromethION,R9.4.1,137.7 ,91 ,63.0 ,165,
CHA-S,"Han, South China",C153-CHA-S21,C153-CHA-S21-01,PacBio Revio,46.7 ,19.8 ,PromethION,R10.4.1,118.4 ,81 ,49.7 ,169,
CHA-N,"Han, North China",C041-CHA-N01,C041-CHA-N01-01,PacBio Sequel II,54.7 ,17.7 ,PromethION,R9.4.1,95.0 ,113 ,48.7 ,195,
CHA-N,"Han, North China",C042-CHA-N02,C042-CHA-N02-01,PacBio Sequel II,50.0 ,16.5 ,PromethION,R9.4.1,98.7 ,113 ,54.3 ,186,
CHA-N,"Han, North China",C043-CHA-N03,C043-CHA-N03-01,PacBio Sequel II,48.3 ,18.4 ,PromethION,R9.4.1,126.3 ,96 ,56.3 ,177,
CHA-N,"Han, North China",C044-CHA-N04,C044-CHA-N04-01,PacBio Sequel II,50.8 ,19.7 ,PromethION,R9.4.1,91.3 ,147 ,59.0 ,219,
CHA-N,"Han, North China",C045-CHA-N05,C045-CHA-N05-01,PacBio Sequel II,51.4 ,18.2 ,PromethION,R9.4.1,87.3 ,104 ,45.7 ,182,
CHA-N,"Han, North China",C046-CHA-N06,C046-CHA-N06-01,PacBio Sequel II,46.8 ,16.6 ,PromethION,R9.4.1,120.3 ,96 ,57.7 ,174,
CHA-N,"Han, North China",C047-CHA-N07,C047-CHA-N07-01,PacBio Sequel II,46.0 ,18.0 ,PromethION,R9.4.1,101.0 ,100 ,50.3 ,180,
CHA-N,"Han, North China",C048-CHA-N08,C048-CHA-N08-01,PacBio Sequel II,50.7 ,19.0 ,PromethION,R9.4.1,105.0 ,106 ,55.3 ,178,
CHA-N,"Han, North China",C049-CHA-N09,C049-CHA-N09-01,PacBio Sequel II,60.6 ,19.5 ,PromethION,R9.4.1,93.3 ,111 ,50.0 ,201,
CHA-N,"Han, North China",C050-CHA-N10,C050-CHA-N10-01,PacBio Revio,49.0 ,19.8 ,PromethION,R9.4.1,114.7 ,107 ,60.3 ,179,
CHA-N,"Han, North China",C051-CHA-N11,C051-CHA-N11-01,PacBio Revio,51.7 ,17.8 ,PromethION,R10.4.1,204.5 ,68 ,71.7 ,160,
CHA-N,"Han, North China",C052-CHA-N12,C052-CHA-N12-01,PacBio Revio,49.7 ,18.2 ,PromethION,R10.4.1,164.3 ,76 ,63.7 ,164,
CHA-N,"Han, North China",C053-CHA-N13,C053-CHA-N13-01,PacBio Revio,57.7 ,17.1 ,PromethION,R10.4.1,147.0 ,77 ,58.7 ,191,
CHA-N,"Han, North China",C054-CHA-N14,C054-CHA-N14-01,PacBio Revio,42.7 ,20.1 ,PromethION,R10.4.1,180.9 ,81 ,75.7 ,170,
CHA-N,"Han, North China",C055-CHA-N15,C055-CHA-N15-01,PacBio Revio,44.3 ,18.7 ,PromethION,R10.4.1,163.1 ,85 ,71.3 ,173,
CHA-N,"Han, North China",C056-CHA-N16,C056-CHA-N16-01,PacBio Revio,54.0 ,19.1 ,PromethION,R10.4.1,124.0 ,93 ,58.3 ,180,
CHA-N,"Han, North China",C057-CHA-N17,C057-CHA-N17-01,PacBio Revio,52.7 ,18.6 ,PromethION,R10.4.1,127.7 ,109 ,68.7 ,187,
CHA-N,"Han, North China",C058-CHA-N18,C058-CHA-N18-01,PacBio Revio,52.0 ,19.0 ,PromethION,R10.4.1,86.3 ,84 ,38.3 ,176,No trio information
CHA-N,"Han, North China",C059-CHA-N19,C059-CHA-N19-01,PacBio Revio,57.7 ,18.9 ,PromethION,R10.4.1,140.2 ,104 ,72.3 ,187,
CHA-N,"Han, North China",C060-CHA-N20,C060-CHA-N20-01,PacBio Revio,54.0 ,20.3 ,PromethION,R10.4.1,137.7 ,104 ,70.7 ,184,
CHA-NE,"Han, Northeast China",C061-CHA-NE01,C061-CHA-NE01-01,PacBio Sequel II,48.3 ,17.9 ,PromethION,R9.4.1,123.5 ,100 ,61.3 ,173,
CHA-NE,"Han, Northeast China",C062-CHA-NE02,C062-CHA-NE02-01,PacBio Sequel II,52.3 ,18.0 ,PromethION,R9.4.1,129.8 ,104 ,67.0 ,176,
CHA-NE,"Han, Northeast China",C063-CHA-NE03,C063-CHA-NE03-01,PacBio Sequel II,50.7 ,17.9 ,PromethION,R9.4.1,122.7 ,116 ,69.0 ,186,
CHA-NE,"Han, Northeast China",C064-CHA-NE04,C064-CHA-NE04-01,PacBio Sequel II,53.3 ,19.5 ,PromethION,R9.4.1,133.5 ,102 ,67.7 ,172,
